games,size,ratio,start_color,winner,win_count,budget_winner,algo_winner,loss_count,budget_loser,algo_loser
250,10,1:1,BLUE,BLUE,133,10,rave,117,10,mcts
250,10,1:1,BLUE,BLUE,224,50,rave,26,50,mcts
250,10,1:1,BLUE,BLUE,237,100,rave,13,100,mcts
250,10,1:1,BLUE,BLUE,250,400,rave,0,400,mcts
250,10,1:1,BLUE,BLUE,250,800,rave,0,800,mcts
250,10,1:1,BLUE,BLUE,250,1600,rave,0,1600,mcts
250,10,1:2,BLUE,RED,165,20,mcts,85,10,rave
250,10,1:2,BLUE,RED,129,100,mcts,121,50,rave
250,10,1:2,BLUE,BLUE,136,100,rave,114,200,mcts
250,10,1:2,BLUE,BLUE,246,400,rave,4,800,mcts
250,10,1:2,BLUE,BLUE,250,800,rave,0,1600,mcts
250,10,1:2,BLUE,BLUE,247,1600,rave,3,3200,mcts
250,10,1:5,BLUE,RED,228,50,mcts,22,10,rave
250,10,1:5,BLUE,RED,225,250,mcts,25,50,rave
250,10,1:5,BLUE,RED,229,500,mcts,21,100,rave
250,10,1:5,BLUE,BLUE,194,400,rave,56,2000,mcts
250,10,1:5,BLUE,BLUE,231,800,rave,19,4000,mcts
250,10,1:5,BLUE,BLUE,208,1600,rave,42,8000,mcts
250,10,2:1,BLUE,BLUE,181,20,rave,69,10,mcts
250,10,2:1,BLUE,BLUE,249,100,rave,1,50,mcts
250,10,2:1,BLUE,BLUE,250,200,rave,0,100,mcts
250,10,2:1,BLUE,BLUE,250,800,rave,0,400,mcts
250,10,2:1,BLUE,BLUE,250,1600,rave,0,800,mcts
250,10,2:1,BLUE,BLUE,249,3200,rave,1,1600,mcts
250,10,5:1,BLUE,BLUE,240,50,rave,10,10,mcts
250,10,5:1,BLUE,BLUE,250,250,rave,0,50,mcts
250,10,5:1,BLUE,BLUE,250,500,rave,0,100,mcts
250,10,5:1,BLUE,BLUE,250,2000,rave,0,400,mcts
250,10,5:1,BLUE,BLUE,250,4000,rave,0,800,mcts
250,10,5:1,BLUE,BLUE,250,8000,rave,0,1600,mcts
