games,size,ratio,start_color,winner,win_count,budget_winner,algo_winner,loss_count,budget_loser,algo_loser
250,5,1:1,BLUE,BLUE,128,10,mcts,122,10,rave
250,5,1:1,BLUE,RED,200,50,rave,50,50,mcts
250,5,1:1,BLUE,RED,216,100,rave,34,100,mcts
250,5,1:1,BLUE,RED,165,500,rave,85,500,mcts
250,5,1:1,BLUE,RED,135,1000,rave,115,1000,mcts
250,5,1:1,BLUE,BLUE,140,2000,mcts,110,2000,rave
250,5,1:2,BLUE,RED,210,20,rave,40,10,mcts
250,5,1:2,BLUE,RED,242,100,rave,8,50,mcts
250,5,1:2,BLUE,RED,243,200,rave,7,100,mcts
250,5,1:2,BLUE,RED,178,1000,rave,72,500,mcts
250,5,1:2,BLUE,RED,145,2000,rave,105,1000,mcts
250,5,1:2,BLUE,BLUE,130,2000,mcts,120,4000,rave
250,5,1:5,BLUE,RED,248,50,rave,2,10,mcts
250,5,1:5,BLUE,RED,246,250,rave,4,50,mcts
250,5,1:5,BLUE,RED,244,500,rave,6,100,mcts
250,5,1:5,BLUE,RED,186,2500,rave,64,500,mcts
250,5,1:5,BLUE,RED,151,5000,rave,99,1000,mcts
250,5,1:5,BLUE,BLUE,136,2000,mcts,114,10000,rave
250,5,2:1,BLUE,BLUE,188,20,mcts,62,10,rave
250,5,2:1,BLUE,BLUE,132,100,mcts,118,50,rave
250,5,2:1,BLUE,RED,174,100,rave,76,200,mcts
250,5,2:1,BLUE,RED,144,500,rave,106,1000,mcts
250,5,2:1,BLUE,BLUE,143,2000,mcts,107,1000,rave
250,5,2:1,BLUE,BLUE,163,4000,mcts,87,2000,rave
250,5,5:1,BLUE,BLUE,233,50,mcts,17,10,rave
250,5,5:1,BLUE,BLUE,185,250,mcts,65,50,rave
250,5,5:1,BLUE,BLUE,158,500,mcts,92,100,rave
250,5,5:1,BLUE,BLUE,152,2500,mcts,98,500,rave
250,5,5:1,BLUE,BLUE,167,5000,mcts,83,1000,rave
250,5,5:1,BLUE,BLUE,192,10000,mcts,58,2000,rave
