games,size,ratio,start_color,winner,win_count,budget_winner,algo_winner,loss_count,budget_loser,algo_loser
250,10,1:1,BLUE,RED,151,10,rave,99,10,mcts
250,10,1:1,BLUE,RED,220,50,rave,30,50,mcts
250,10,1:1,BLUE,RED,237,100,rave,13,100,mcts
250,10,1:1,BLUE,RED,250,400,rave,0,400,mcts
250,10,1:1,BLUE,RED,250,800,rave,0,800,mcts
250,10,1:1,BLUE,RED,250,1600,rave,0,1600,mcts
250,10,1:2,BLUE,RED,197,20,rave,53,10,mcts
250,10,1:2,BLUE,RED,247,100,rave,3,50,mcts
250,10,1:2,BLUE,RED,250,200,rave,0,100,mcts
250,10,1:2,BLUE,RED,250,800,rave,0,400,mcts
250,10,1:2,BLUE,RED,250,1600,rave,0,800,mcts
250,10,1:2,BLUE,RED,250,3200,rave,0,1600,mcts
250,10,1:5,BLUE,RED,241,50,rave,9,10,mcts
250,10,1:5,BLUE,RED,250,250,rave,0,50,mcts
250,10,1:5,BLUE,RED,250,500,rave,0,100,mcts
250,10,1:5,BLUE,RED,250,2000,rave,0,400,mcts
250,10,1:5,BLUE,RED,250,4000,rave,0,800,mcts
250,10,1:5,BLUE,RED,250,8000,rave,0,1600,mcts
250,10,2:1,BLUE,BLUE,159,20,mcts,91,10,rave
250,10,2:1,BLUE,BLUE,139,100,mcts,111,50,rave
250,10,2:1,BLUE,RED,158,100,rave,92,200,mcts
250,10,2:1,BLUE,RED,245,400,rave,5,800,mcts
250,10,2:1,BLUE,RED,250,800,rave,0,1600,mcts
250,10,2:1,BLUE,RED,246,1600,rave,4,3200,mcts
250,10,5:1,BLUE,BLUE,221,50,mcts,29,10,rave
250,10,5:1,BLUE,BLUE,227,250,mcts,23,50,rave
250,10,5:1,BLUE,BLUE,223,500,mcts,27,100,rave
250,10,5:1,BLUE,RED,207,400,rave,43,2000,mcts
250,10,5:1,BLUE,RED,230,800,rave,20,4000,mcts
250,10,5:1,BLUE,RED,199,1600,rave,51,8000,mcts
