games,size,ratio,start_color,winner,win_count,budget_winner,algo_winner,loss_count,budget_loser,algo_loser
250,8,1:1,BLUE,RED,139,10,rave,111,10,mcts
250,8,1:1,BLUE,RED,207,50,rave,43,50,mcts
250,8,1:1,BLUE,RED,239,100,rave,11,100,mcts
250,8,1:1,BLUE,RED,250,500,rave,0,500,mcts
250,8,1:1,BLUE,RED,246,1000,rave,4,1000,mcts
250,8,1:1,BLUE,RED,238,2000,rave,12,2000,mcts
250,8,1:2,BLUE,RED,200,20,rave,50,10,mcts
250,8,1:2,BLUE,RED,250,100,rave,0,50,mcts
250,8,1:2,BLUE,RED,250,200,rave,0,100,mcts
250,8,1:2,BLUE,RED,250,1000,rave,0,500,mcts
250,8,1:2,BLUE,RED,248,2000,rave,2,1000,mcts
250,8,1:2,BLUE,RED,230,4000,rave,20,2000,mcts
250,8,1:5,BLUE,RED,244,50,rave,6,10,mcts
250,8,1:5,BLUE,RED,250,250,rave,0,50,mcts
250,8,1:5,BLUE,RED,250,500,rave,0,100,mcts
250,8,1:5,BLUE,RED,250,2500,rave,0,500,mcts
250,8,1:5,BLUE,RED,246,5000,rave,4,1000,mcts
250,8,1:5,BLUE,RED,234,10000,rave,16,2000,mcts
250,8,2:1,BLUE,BLUE,159,20,mcts,91,10,rave
250,8,2:1,BLUE,BLUE,145,100,mcts,105,50,rave
250,8,2:1,BLUE,RED,178,100,rave,72,200,mcts
250,8,2:1,BLUE,RED,239,500,rave,11,1000,mcts
250,8,2:1,BLUE,RED,230,1000,rave,20,2000,mcts
250,8,2:1,BLUE,RED,189,2000,rave,61,4000,mcts
250,8,5:1,BLUE,BLUE,230,50,mcts,20,10,rave
250,8,5:1,BLUE,BLUE,233,250,mcts,17,50,rave
250,8,5:1,BLUE,BLUE,195,500,mcts,55,100,rave
250,8,5:1,BLUE,RED,187,500,rave,63,2500,mcts
250,8,5:1,BLUE,RED,172,1000,rave,78,5000,mcts
250,8,5:1,BLUE,RED,152,2000,rave,98,10000,mcts
