games,size,ratio,start_color,winner,win_count,budget_winner,algo_winner,loss_count,budget_loser,algo_loser
250,10,1:1,BLUE,RED,138,10,rave,112,10,rave
250,10,1:1,BLUE,BLUE,133,50,rave,117,50,rave
250,10,1:1,BLUE,RED,135,100,rave,115,100,rave
250,10,1:1,BLUE,RED,130,400,rave,120,400,rave
250,10,1:1,BLUE,RED,128,800,rave,122,800,rave
250,10,1:1,BLUE,BLUE,133,1600,rave,117,1600,rave
250,10,1:2,BLUE,RED,190,20,rave,60,10,rave
250,10,1:2,BLUE,RED,231,100,rave,19,50,rave
250,10,1:2,BLUE,RED,246,200,rave,4,100,rave
250,10,1:2,BLUE,RED,235,800,rave,15,400,rave
250,10,1:2,BLUE,RED,154,1600,rave,96,800,rave
250,10,1:2,BLUE,BLUE,131,1600,rave,119,3200,rave
250,10,1:5,BLUE,RED,244,50,rave,6,10,rave
250,10,1:5,BLUE,RED,250,250,rave,0,50,rave
250,10,1:5,BLUE,RED,250,500,rave,0,100,rave
250,10,1:5,BLUE,RED,246,2000,rave,4,400,rave
250,10,1:5,BLUE,RED,164,4000,rave,86,800,rave
250,10,1:5,BLUE,BLUE,142,1600,rave,108,8000,rave
250,10,2:1,BLUE,BLUE,171,20,rave,79,10,rave
250,10,2:1,BLUE,BLUE,222,100,rave,28,50,rave
250,10,2:1,BLUE,BLUE,241,200,rave,9,100,rave
250,10,2:1,BLUE,BLUE,243,800,rave,7,400,rave
250,10,2:1,BLUE,BLUE,182,1600,rave,68,800,rave
250,10,2:1,BLUE,BLUE,144,3200,rave,106,1600,rave
250,10,5:1,BLUE,BLUE,241,50,rave,9,10,rave
250,10,5:1,BLUE,BLUE,250,250,rave,0,50,rave
250,10,5:1,BLUE,BLUE,250,500,rave,0,100,rave
250,10,5:1,BLUE,BLUE,247,2000,rave,3,400,rave
250,10,5:1,BLUE,BLUE,186,4000,rave,64,800,rave
250,10,5:1,BLUE,BLUE,140,8000,rave,110,1600,rave
