games,size,ratio,start_color,winner,win_count,budget_winner,algo_winner,loss_count,budget_loser,algo_loser
250,8,1:1,BLUE,RED,125,10,rave,125,10,rave
250,8,1:1,BLUE,BLUE,133,50,rave,117,50,rave
250,8,1:1,BLUE,RED,150,100,rave,100,100,rave
250,8,1:1,BLUE,BLUE,130,500,rave,120,500,rave
250,8,1:1,BLUE,BLUE,142,1000,rave,108,1000,rave
250,8,1:1,BLUE,BLUE,155,2000,rave,95,2000,rave
250,8,1:2,BLUE,RED,200,20,rave,50,10,rave
250,8,1:2,BLUE,RED,235,100,rave,15,50,rave
250,8,1:2,BLUE,RED,245,200,rave,5,100,rave
250,8,1:2,BLUE,RED,141,1000,rave,109,500,rave
250,8,1:2,BLUE,BLUE,149,1000,rave,101,2000,rave
250,8,1:2,BLUE,BLUE,154,2000,rave,96,4000,rave
250,8,1:5,BLUE,RED,242,50,rave,8,10,rave
250,8,1:5,BLUE,RED,249,250,rave,1,50,rave
250,8,1:5,BLUE,RED,250,500,rave,0,100,rave
250,8,1:5,BLUE,RED,145,2500,rave,105,500,rave
250,8,1:5,BLUE,BLUE,143,1000,rave,107,5000,rave
250,8,1:5,BLUE,BLUE,153,2000,rave,97,10000,rave
250,8,2:1,BLUE,BLUE,201,20,rave,49,10,rave
250,8,2:1,BLUE,BLUE,228,100,rave,22,50,rave
250,8,2:1,BLUE,BLUE,250,200,rave,0,100,rave
250,8,2:1,BLUE,BLUE,167,1000,rave,83,500,rave
250,8,2:1,BLUE,BLUE,163,2000,rave,87,1000,rave
250,8,2:1,BLUE,BLUE,143,4000,rave,107,2000,rave
250,8,5:1,BLUE,BLUE,248,50,rave,2,10,rave
250,8,5:1,BLUE,BLUE,250,250,rave,0,50,rave
250,8,5:1,BLUE,BLUE,250,500,rave,0,100,rave
250,8,5:1,BLUE,BLUE,183,2500,rave,67,500,rave
250,8,5:1,BLUE,BLUE,153,5000,rave,97,1000,rave
250,8,5:1,BLUE,BLUE,151,10000,rave,99,2000,rave
