games,size,ratio,start_color,winner,win_count,budget_winner,algo_winner,loss_count,budget_loser,algo_loser
250,14,1:1,BLUE,BLUE,150,500,rave,100,500,rave
250,14,1:1,BLUE,BLUE,141,1000,rave,109,1000,rave
250,14,1:1,BLUE,RED,129,1500,rave,121,1500,rave
250,14,1:1,BLUE,BLUE,132,2500,rave,118,2500,rave
250,14,1:1,BLUE,BLUE,135,3000,rave,115,3000,rave
250,14,1:1,BLUE,BLUE,141,3500,rave,109,3500,rave
250,14,1:2,BLUE,RED,250,1000,rave,0,500,rave
250,14,1:2,BLUE,RED,246,2000,rave,4,1000,rave
250,14,1:2,BLUE,RED,212,3000,rave,38,1500,rave
250,14,1:2,BLUE,RED,133,5000,rave,117,2500,rave
250,14,1:2,BLUE,RED,129,6000,rave,121,3000,rave
250,14,1:2,BLUE,RED,126,7000,rave,124,3500,rave
250,14,2:1,BLUE,BLUE,250,1000,rave,0,500,rave
250,14,2:1,BLUE,BLUE,247,2000,rave,3,1000,rave
250,14,2:1,BLUE,BLUE,213,3000,rave,37,1500,rave
250,14,2:1,BLUE,BLUE,146,5000,rave,104,2500,rave
250,14,2:1,BLUE,BLUE,145,6000,rave,105,3000,rave
250,14,2:1,BLUE,BLUE,148,7000,rave,102,3500,rave
