games,size,ratio,start_color,winner,win_count,budget_winner,algo_winner,loss_count,budget_loser,algo_loser
250,10,1:1,BLUE,BLUE,126,10,mcts,124,10,mcts
250,10,1:1,BLUE,BLUE,130,50,mcts,120,50,mcts
250,10,1:1,BLUE,BLUE,144,100,mcts,106,100,mcts
250,10,1:1,BLUE,BLUE,127,400,mcts,123,400,mcts
250,10,1:1,BLUE,BLUE,132,800,mcts,118,800,mcts
250,10,1:1,BLUE,BLUE,135,1600,mcts,115,1600,mcts
250,10,1:2,BLUE,RED,160,20,mcts,90,10,mcts
250,10,1:2,BLUE,RED,203,100,mcts,47,50,mcts
250,10,1:2,BLUE,RED,207,200,mcts,43,100,mcts
250,10,1:2,BLUE,RED,211,800,mcts,39,400,mcts
250,10,1:2,BLUE,RED,210,1600,mcts,40,800,mcts
250,10,1:2,BLUE,RED,207,3200,mcts,43,1600,mcts
250,10,1:5,BLUE,RED,218,50,mcts,32,10,mcts
250,10,1:5,BLUE,RED,245,250,mcts,5,50,mcts
250,10,1:5,BLUE,RED,248,500,mcts,2,100,mcts
250,10,1:5,BLUE,RED,245,2000,mcts,5,400,mcts
250,10,1:5,BLUE,RED,246,4000,mcts,4,800,mcts
250,10,1:5,BLUE,RED,246,8000,mcts,4,1600,mcts
250,10,2:1,BLUE,BLUE,166,20,mcts,84,10,mcts
250,10,2:1,BLUE,BLUE,218,100,mcts,32,50,mcts
250,10,2:1,BLUE,BLUE,222,200,mcts,28,100,mcts
250,10,2:1,BLUE,BLUE,225,800,mcts,25,400,mcts
250,10,2:1,BLUE,BLUE,215,1600,mcts,35,800,mcts
250,10,2:1,BLUE,BLUE,218,3200,mcts,32,1600,mcts
250,10,5:1,BLUE,BLUE,212,50,mcts,38,10,mcts
250,10,5:1,BLUE,BLUE,247,250,mcts,3,50,mcts
250,10,5:1,BLUE,BLUE,249,500,mcts,1,100,mcts
250,10,5:1,BLUE,BLUE,249,2000,mcts,1,400,mcts
250,10,5:1,BLUE,BLUE,250,4000,mcts,0,800,mcts
250,10,5:1,BLUE,BLUE,248,8000,mcts,2,1600,mcts
