games,size,ratio,start_color,winner,win_count,budget_winner,algo_winner,loss_count,budget_loser,algo_loser
250,5,1:1,BLUE,BLUE,140,10,mcts,110,10,mcts
250,5,1:1,BLUE,RED,130,50,mcts,120,50,mcts
250,5,1:1,BLUE,RED,126,100,mcts,124,100,mcts
250,5,1:1,BLUE,BLUE,152,500,mcts,98,500,mcts
250,5,1:1,BLUE,BLUE,157,1000,mcts,93,1000,mcts
250,5,1:1,BLUE,BLUE,170,2000,mcts,80,2000,mcts
250,5,1:2,BLUE,RED,191,20,mcts,59,10,mcts
250,5,1:2,BLUE,RED,182,100,mcts,68,50,mcts
250,5,1:2,BLUE,RED,172,200,mcts,78,100,mcts
250,5,1:2,BLUE,RED,137,1000,mcts,113,500,mcts
250,5,1:2,BLUE,BLUE,142,1000,mcts,108,2000,mcts
250,5,1:2,BLUE,BLUE,151,2000,mcts,99,4000,mcts
250,5,1:5,BLUE,RED,238,50,mcts,12,10,mcts
250,5,1:5,BLUE,RED,233,250,mcts,17,50,mcts
250,5,1:5,BLUE,RED,219,500,mcts,31,100,mcts
250,5,1:5,BLUE,RED,159,2500,mcts,91,500,mcts
250,5,1:5,BLUE,RED,135,5000,mcts,115,1000,mcts
250,5,1:5,BLUE,BLUE,143,2000,mcts,107,10000,mcts
250,5,2:1,BLUE,BLUE,205,20,mcts,45,10,mcts
250,5,2:1,BLUE,BLUE,194,100,mcts,56,50,mcts
250,5,2:1,BLUE,BLUE,188,200,mcts,62,100,mcts
250,5,2:1,BLUE,BLUE,176,1000,mcts,74,500,mcts
250,5,2:1,BLUE,BLUE,186,2000,mcts,64,1000,mcts
250,5,2:1,BLUE,BLUE,189,4000,mcts,61,2000,mcts
250,5,5:1,BLUE,BLUE,241,50,mcts,9,10,mcts
250,5,5:1,BLUE,BLUE,230,250,mcts,20,50,mcts
250,5,5:1,BLUE,BLUE,232,500,mcts,18,100,mcts
250,5,5:1,BLUE,BLUE,212,2500,mcts,38,500,mcts
250,5,5:1,BLUE,BLUE,213,5000,mcts,37,1000,mcts
250,5,5:1,BLUE,BLUE,207,10000,mcts,43,2000,mcts
